team_a,team_b,score_a,score_b,Round,winner,result_numeric,rank_a,rank_b,rank_diff,elo_a,elo_b,elo_diff
Argentina,France,3,3,Final,Draw,0,1,2,-1,1867.25,1859.78,7.47
Croatia,Morocco,2,1,Third-place match,Croatia,1,13,14,-1,1691.59,1688.18,3.41
France,Morocco,2,0,Semi-finals,France,1,2,14,-12,1859.78,1688.18,171.6
Argentina,Croatia,3,0,Semi-finals,Argentina,1,1,13,-12,1867.25,1691.59,175.66
Morocco,Portugal,1,0,Quarter-finals,Morocco,1,14,6,8,1688.18,1756.12,-67.94
England,France,1,2,Quarter-finals,France,-1,4,2,2,1813.81,1859.78,-45.97
Croatia,Brazil,1,1,Quarter-finals,Draw,0,13,5,8,1691.59,1775.85,-84.26
Netherlands,Argentina,2,2,Quarter-finals,Draw,0,7,1,6,1747.55,1867.25,-119.7
Morocco,Spain,0,0,Round of 16,Draw,0,14,3,11,1688.18,1853.27,-165.09
Portugal,Switzerland,6,1,Round of 16,Portugal,1,6,20,-14,1756.12,1625.16,130.96
Japan,Croatia,1,1,Round of 16,Draw,0,15,13,2,1652.79,1691.59,-38.8
Brazil,Korea Republic,4,1,Round of 16,Brazil,1,5,23,-18,1775.85,1585.45,190.4
France,Poland,3,1,Round of 16,France,1,2,35,-33,1859.78,1510.62,349.16
England,Senegal,3,0,Round of 16,England,1,4,17,-13,1813.81,1637.25,176.56
Argentina,Australia,2,1,Round of 16,Argentina,1,1,26,-25,1867.25,1544.15,323.1
Korea Republic,Portugal,2,1,Group stage,Korea Republic,1,23,6,17,1585.45,1756.12,-170.67
Serbia,Switzerland,2,3,Group stage,Switzerland,-1,32,20,12,1514.28,1625.16,-110.88
Canada,Morocco,1,2,Group stage,Morocco,-1,31,14,17,1515.96,1688.18,-172.22
Croatia,Belgium,0,0,Group stage,Draw,0,13,8,5,1691.59,1740.62,-49.03
Japan,Spain,2,1,Group stage,Japan,1,15,3,12,1652.79,1853.27,-200.48
Australia,Denmark,1,0,Group stage,Australia,1,26,21,5,1544.15,1611.49,-67.34
Poland,Argentina,0,2,Group stage,Argentina,-1,35,1,34,1510.62,1867.25,-356.63
Ecuador,Senegal,1,2,Group stage,Senegal,-1,24,17,7,1560.13,1637.25,-77.12
Netherlands,Qatar,2,0,Group stage,Netherlands,1,7,48,-41,1747.55,1474.6,272.95
Wales,England,0,3,Group stage,England,-1,29,4,25,1534.39,1813.81,-279.42
Brazil,Switzerland,1,0,Group stage,Brazil,1,5,20,-15,1775.85,1625.16,150.69
Portugal,Uruguay,2,0,Group stage,Portugal,1,6,11,-5,1756.12,1695.91,60.21
Belgium,Morocco,0,2,Group stage,Morocco,-1,8,14,-6,1740.62,1688.18,52.44
Croatia,Canada,4,1,Group stage,Croatia,1,13,31,-18,1691.59,1515.96,175.63
Spain,Germany,1,1,Group stage,Draw,0,3,10,-7,1853.27,1703.79,149.48
France,Denmark,2,1,Group stage,France,1,2,21,-19,1859.78,1611.49,248.29
Argentina,Mexico,2,0,Group stage,Argentina,1,1,19,-18,1867.25,1627.4,239.85
Wales,IR Iran,0,2,Group stage,IR Iran,-1,29,18,11,1534.39,1635.31,-100.92
Qatar,Senegal,1,3,Group stage,Senegal,-1,48,17,31,1474.6,1637.25,-162.65
Netherlands,Ecuador,1,1,Group stage,Draw,0,7,24,-17,1747.55,1560.13,187.42
Uruguay,Korea Republic,0,0,Group stage,Draw,0,11,23,-12,1695.91,1585.45,110.46
Brazil,Serbia,2,0,Group stage,Brazil,1,5,32,-27,1775.85,1514.28,261.57
Morocco,Croatia,0,0,Group stage,Draw,0,14,13,1,1688.18,1691.59,-3.41
Germany,Japan,1,2,Group stage,Japan,-1,10,15,-5,1703.79,1652.79,51
Belgium,Canada,1,0,Group stage,Belgium,1,8,31,-23,1740.62,1515.96,224.66
Mexico,Poland,0,0,Group stage,Draw,0,19,35,-16,1627.4,1510.62,116.78
France,Australia,4,1,Group stage,France,1,2,26,-24,1859.78,1544.15,315.63
England,IR Iran,6,2,Group stage,England,1,4,18,-14,1813.81,1635.31,178.5
Senegal,Netherlands,0,2,Group stage,Netherlands,-1,17,7,10,1637.25,1747.55,-110.3
Qatar,Ecuador,0,2,Group stage,Ecuador,-1,48,24,24,1474.6,1560.13,-85.53
France,Croatia,4,2,Final,France,1,2,13,-11,1859.78,1691.59,168.19
Belgium,England,2,0,Third-place match,Belgium,1,8,4,4,1740.62,1813.81,-73.19
Croatia,England,2,1,Semi-finals,Croatia,1,13,4,9,1691.59,1813.81,-122.22
France,Belgium,1,0,Semi-finals,France,1,2,8,-6,1859.78,1740.62,119.16
Sweden,England,0,2,Quarter-finals,England,-1,27,4,23,1540.2,1813.81,-273.61
Russia,Croatia,2,2,Quarter-finals,Draw,0,34,13,21,1512.32,1691.59,-179.27
Uruguay,France,0,2,Quarter-finals,France,-1,11,2,9,1695.91,1859.78,-163.87
Brazil,Belgium,1,2,Quarter-finals,Belgium,-1,5,8,-3,1775.85,1740.62,35.23
Sweden,Switzerland,1,0,Round of 16,Sweden,1,27,20,7,1540.2,1625.16,-84.96
Colombia,England,1,1,Round of 16,Draw,0,12,4,8,1694.44,1813.81,-119.37
Brazil,Mexico,2,0,Round of 16,Brazil,1,5,19,-14,1775.85,1627.4,148.45
Belgium,Japan,3,2,Round of 16,Belgium,1,8,15,-7,1740.62,1652.79,87.83
Spain,Russia,1,1,Round of 16,Draw,0,3,34,-31,1853.27,1512.32,340.95
Croatia,Denmark,1,1,Round of 16,Draw,0,13,21,-8,1691.59,1611.49,80.1
France,Argentina,4,3,Round of 16,France,1,2,1,1,1859.78,1867.25,-7.47
Uruguay,Portugal,2,1,Round of 16,Uruguay,1,11,6,5,1695.91,1756.12,-60.21
Japan,Poland,0,1,Group stage,Poland,-1,15,35,-20,1652.79,1510.62,142.17
Senegal,Colombia,0,1,Group stage,Colombia,-1,17,12,5,1637.25,1694.44,-57.19
England,Belgium,0,1,Group stage,Belgium,-1,4,8,-4,1813.81,1740.62,73.19
Korea Republic,Germany,2,0,Group stage,Korea Republic,1,23,10,13,1585.45,1703.79,-118.34
Mexico,Sweden,0,3,Group stage,Sweden,-1,19,27,-8,1627.4,1540.2,87.2
Serbia,Brazil,0,2,Group stage,Brazil,-1,32,5,27,1514.28,1775.85,-261.57
Australia,Peru,0,2,Group stage,Peru,-1,26,40,-14,1544.15,1488.42,55.73
